2026-02-25 19:51:31,779 - INFO - 🚀 Запуск скрипта. Лог-файл: c:\Users\Alkor\VSCode\pj14_rss_news_oil_gaz_embeded\rts\log\create_embedding_ollama_2026-02-25_19-51-31.txt
2026-02-25 19:51:32,202 - INFO - 2026-01-13.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,202 - INFO - 2026-01-14.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,202 - INFO - 2026-01-15.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,203 - INFO - 2026-01-16.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,203 - INFO - 2026-01-19.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,203 - INFO - 2026-01-20.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,203 - INFO - 2026-01-21.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,203 - INFO - 2026-01-22.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,204 - INFO - 2026-01-23.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,204 - INFO - 2026-01-26.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,204 - INFO - 2026-01-27.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,204 - INFO - 2026-01-28.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,204 - INFO - 2026-01-29.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,204 - INFO - 2026-01-30.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,205 - INFO - 2026-02-02.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,205 - INFO - 2026-02-03.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,205 - INFO - 2026-02-04.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,205 - INFO - 2026-02-05.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,205 - INFO - 2026-02-06.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,206 - INFO - 2026-02-09.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,206 - INFO - 2026-02-10.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,206 - INFO - 2026-02-11.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,206 - INFO - 2026-02-12.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,206 - INFO - 2026-02-13.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,206 - INFO - 2026-02-16.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,206 - INFO - 2026-02-17.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,207 - INFO - 2026-02-18.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,207 - INFO - 2026-02-19.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,207 - INFO - 2026-02-20.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,207 - INFO - 2026-02-24.md: без изменений, взято из кэша. Время: 0.00 сек.
2026-02-25 19:51:32,208 - INFO - Создан датафрейм эмбеддингов, строк: 103
2026-02-25 19:51:32,219 - INFO - Кэш обновлён в c:\Users\Alkor\VSCode\pj14_rss_news_oil_gaz_embeded\rts\embeddings_ollama.pkl, всего записей: 103
2026-02-25 19:51:32,219 - INFO - ✅ Скрипт завершён. Общее время выполнения: 0.03 сек.
